conversation,true_label,pred_label,error_pair
자꾸 이렇게 집착해서 전화자꾸하지마 [SEP] 한번만 만날수 없니 딱 한번만 [SEP] 우린 헤어졌는데 뭘 만나 [SEP] 난 아직 아니야 널 사랑해 [SEP] 뭘 사랑해 그런놈이 둘째를 가지냐 [SEP] 그건 나도 술마시고 술김에 모르고 [SEP] 넌 날 그양 즐기는 상대로 만난거니 이제 끝내자 [SEP] 아니야 조금만 기다려주면 이혼하고 정리될거야 [SEP] 그럼 다른사람 찾아봐 난 아니니 [SEP] 한번만 만나줘 내가 설명할께 [SEP] 너 자꾸 이럼 임신한 니 와이프에게 우리 사진보낸다 [SEP] 야 그렇게하면 나도 가만안있어 니 남자친구랑 집에 나도 폭로해버릴거야 [SEP] 그래 이제야 본심 나오네 넌 그런 양아치야 [SEP] 넌 깨끗한줄 아나보네 그래 우리 서로 다밝히고 깨끗히 서로 다시 시작하자 [SEP] 뭘 시작해 양아치야 너 한번만 더 전화하고 찾아오면 널 아는 모든사람이 니가 이런사람이라는걸 알게 해줄께,기타 괴롭힘 대화,협박 대화,Other_Bullying -> Threat
다 죽여버리기전에 여기에 돈 담아! [SEP] 꺄악.! 도둑.도둑이야.! [SEP] 당.당신 누구야.! [SEP] 닥치고 돈 담으라고! 다 죽고싶어? 어!? [SEP] 사.사장님.! . [SEP] 우주씨.울.울지말고. 당신 . 일단 좀 진정해봐. [SEP] 진정? 돈 담으라고 진짜 죽고 싶어서 환장했어? 어!? [SEP] 윽.사.사장님.저.저 좀 살려주세요. [SEP] 이 여자 살리고 싶으면 돈 담아. 빨리 안담아!? [SEP] 제발 그 여자부터 풀어줘. 우리 대화로 하자.어.? [SEP] 진짜 이 여자 죽여버리기 전에 입 닥치라고!,협박 대화,갈취 대화,Threat -> Extortion
어이 이야기한 돈은 준비 됐나? [SEP] 아직요 그 큰 돈을 어떻게 구해요 [SEP] 우리 대화를 잊었나 본데 니 목숨이 달려있어 [SEP] 시간을 조금만 더 주시면 안될까요? [SEP] 다음주 월요일까지도 제대로 상환 안하면 그땐 정말 죽이러 올거야 경고했다 [SEP] 제 처자식을 봐서라도 조금만 시간을 주세요 [SEP] 그러게 남의 돈에 손 댔으면 그정도 감수는 해야지 [SEP] 죄송합니다. 정말 죄송합니다 [SEP] 그럼 다음주에 두둑하게 준비하고 오게나 [SEP] 예,협박 대화,갈취 대화,Threat -> Extortion
위층이 너무 시끄러워서 왔어요 [SEP] 저희가 시끄러웠다고요? 난 시끄럽게한적없은대 [SEP] 네 오늘이 처음도 아니고 계속 시끄러워서 참다참다가 왔어요 [SEP] 우리가 시끄럽게하면 얼마나 시끄럽다고 저희집까지 찾오셨을까 참을성이 없나보네 [SEP] 저희도 참을만큼 참았죠 근데 정도가 심해지시니까 찾아온거에요 [SEP] 뭐?! 너 지금 말다했어?! [SEP] 어디다 대고 반말이야 응말다했다 [SEP] 너 일로와 내가 어떤사람인줄알고 [SEP] 당신이 뭐어떤사람인데 [SEP] 하 이런 싸가지없는사람을 봤나 죽고싶어?!?,협박 대화,기타 괴롭힘 대화,Threat -> Other_Bullying
아니 직원들 월급을 그렇게 많이 가져가시면. [SEP] 자네 불만있으면 나가시게 [SEP] 그럼 노력의 대가를 정당하게 다 받고 나가겠습니다. [SEP] 싫다면 [SEP] 아니 사장님! [SEP] 원래 절이 싫으면 중이 떠나는 거야 [SEP] 사장님 여긴 절이 아니라 직장이 잖아요 [SEP] 그래서 [SEP] 뺏어간 돈 저희 것이기도 해요 [SEP] 애초에 내 회사 아니었다면 그 돈도 못만들었어 경호팀 이 자식들 끌어내,갈취 대화,직장 내 괴롭힘 대화,Extortion -> Workplace_Bullying
길동선생님 카운팅 다 했지? [SEP] 선생님 했는데 물품하나가 없습니다. [SEP] 그걸 나보고 어쩌라고? 찾을 때까지 퇴근 못하는거 알지? [SEP] 네.바로 찾아보겠습니다. [SEP] 30분후 어머 길동선생님 아직도 퇴근안했어? [SEP] 네.아직 못찾아서. [SEP] 제대로 하는게 없네. 물품하나도 못챙기고 뭐하는거야 지금? 대학교 다닌거 맞아? 빨리 당장 찾아와. [SEP] 네.죄송합니다. [SEP] 1시간후 길동선생님 어쩌나 이게 내 주머니에 있었네 이제 퇴근해 [SEP] 네.,직장 내 괴롭힘 대화,갈취 대화,Workplace_Bullying -> Extortion
왜 쳐다봐? [SEP] 네 제가요? [SEP] 응 너가 나 쳐다봐서 나 지금 굉장히 심리적으로 불안해졌어 [SEP] 무슨말씀이신지. [SEP] 너가 나 쳐다봐서 나 지금 심리적으로도 불안해지고 손도 떨리고 그렇다고 [SEP] 전 안쳐다봤어요 [SEP] 아니 내가 쳐다봤다면 본거지 자꾸 이상한 소리해. 나랑 같이 경찰서랑 병원 가자. 보상받아야겠어 [SEP] 저기요. 전 당신 쳐다본적도 없어요. [SEP] 지금 내 떨리는 눈동자와 손 어떻게 해결할꺼야? 뭘로 보상해줄래? [SEP] 죄송한데 저한테 왜이러시는거예요,갈취 대화,협박 대화,Extortion -> Threat
여보 이거는 우리애 돌반지잖아요 [SEP] 그게왜? [SEP] 이거는 가져가지 말아요 [SEP] 지금 서방이 죽게 생겼는데 애반지가 문제야? [SEP] 제발요 [SEP] 이거 안가져가면 나 손가락 썰린다고! 니가 나대신 손가락이라도 내줄거야? [SEP] 다른 방법을 찾아봐요 우리 [SEP] 다른 방법같은건 없어 자꾸 그렇게 막아서면 내가 니 손가락 가져간다 [SEP] 너무 무서워요 여보 제발 그러지 마요 [SEP] 손가락을 내놓던지 돌반지를 내놓던지 그러란말야! 몇푼이나 한다고 이게 내 목숨값보다 중요해? [SEP] 여보. [SEP] 비켜!,갈취 대화,협박 대화,Extortion -> Threat
여보세요 거기 청소업체죠? [SEP] 네 말씀하세요 [SEP] 아니 일처리를 이렇게 하고 가면 어떻게 합니까! [SEP] 무슨 말씀이세요? 깔끔하게 뒷정리도 하고 갔는데요. [SEP] 짜증나게하네! 베란다에 있는건 뭐죠? [SEP] 그거는 저희가 가지고온게 아닙니다 [SEP] 청소부면 이런것도 가지고 가야 하는거 아니에요? [SEP] 그건 저희의 의무가 아닙니다 사모님 [SEP] 이러니 청소부나 하고 있지! 돈 입금 못합니다! [SEP] 사모님 그래도 이건 아닌거 같아요.,기타 괴롭힘 대화,갈취 대화,Other_Bullying -> Extortion
너 이렇게 나와서 아침마다 탕비실 청소하는 이유가 뭐야? [SEP] 응? 깨끗하면 좋잖아 [SEP] 너때문에 우리는? [SEP] 그게 무슨말이야? [SEP] 니가 아침마다 일 없는 백수마냥 나와서 청소하니까 윗분들이 좋게보시더라? [SEP] 아. 아니 집도 가깝고 그래서 [SEP] 일부러 그러니? 이쁨 받고 싶어서? 가지가지한다 [SEP] 그런건 아니야 정말 [SEP] 아니긴 집이 좀 어렵다더니 아주 그냥 이회사에 뼈까지 묻을 생각인가봐? [SEP] 오해야. 불편하게 했다면 미안해,직장 내 괴롭힘 대화,기타 괴롭힘 대화,Workplace_Bullying -> Other_Bullying
봉투 필요하세요? [SEP] 그럼? [SEP] 네? [SEP] 아니 그럼 봉투안주려고했어? [SEP] 아니요. [SEP] 내가 그럼 이걸 머리고 이고갈까? [SEP] .아닙니다. [SEP] 아휴 답답해서리 얼른 봉투나 줘 [SEP] 죄송합니다. [SEP] 일머리 없어서 쯧,기타 괴롭힘 대화,갈취 대화,Other_Bullying -> Extortion
아 여성분들이 모여계시네. 여기 뭐하는 모임입니까? [SEP] 왜 그러시는데요? [SEP] 아 이야기 좀 나누고 싶어서. [SEP] 여성주의 이야기 하는데요. [SEP] 하하. 재미있는 거 하시네? 난 이야기를 나누고 싶어서 [SEP] 무슨 이야기요? [SEP] 그냥. 광범위한 이야기 [SEP] 죄송하지만 저희가 회의를 하던 중이라서요. [SEP] 회의? 당신이 대표야? 이렇게 사람 말도 안들어주면서 무슨 페미니즘을 해. [SEP] 아니 왜 이러세요. [SEP] 이래서 요즘 페미니즘이 문제야. 어? 왜 경찰 부르시게?,기타 괴롭힘 대화,직장 내 괴롭힘 대화,Other_Bullying -> Workplace_Bullying
저기요 운전 그따위로 하실거에요? [SEP] 아니 저기요 당신이 일부러 차 바퀴에 다리를 갖다댄거 다 봤습니다. [SEP] 아니 이 사람아 우선은 사람 다리가 찍혔으면 사과 부터 해야지 어디서 싸가지 없게 [SEP] 저기요 다친건 안타깝지만 뭔가 고의적이었던게 느껴져서요 혹시 합의금 때문에 그러신건 [SEP] 아니 이 사람이 진짜 내가 그럴 사람으로 보여? 어디 법정까지 가봐? [SEP] 죄송하지만 블랙박스 있거든요 한번 제대로 아니 그거 주세요 [SEP] 젊은 친구가 야비하게 일단 이건 부셔놓고 [SEP] 저기요 뭐하시는거에요! [SEP] 자 이제 법정에서 봅시다.,갈취 대화,협박 대화,Extortion -> Threat
